"Id","Intitule","Entreprise","Statut","Erreur"
"213SGGN","Alternant Big Data et Gestion des données H/F (H/F)","TEXEN","OK",""
"213QWNF","Alternant Data Virtualisation / Denodo (H/F)","Non précisé","OK",""
"213QBYH","Data analyst alternance/stage (H/F)","UNION ST MARTIN","OK",""
"6764798","Data Miner (38970) (H/F)","NAOS","OK",""
"6748181","Apprentissage Data Analyst supply risk management F/H","CIS bio international","OK",""
"213NWCD","(ALTERNANCE) - Analyste data des procédés industriels (H/F)","AUTOMOTIVE CELLS COMPANY SE","OK",""
"213PJFQ","(ALTERNANCE) - Ingénieur Vision (H/F)","AUTOMOTIVE CELLS COMPANY SE","OK",""
"213JGJC","Alternance DRH DATA et SI - Master RH/DATA (BAC+4/5) H/F (H/F)","RAIL LOGISTICS EUROPE","OK",""
"6494527","Analyste qualité des données (404275) (H/F)","VILMORIN-MIKADO","OK",""
"213CNNV","Alternant(e) Data & IA (H/F)","Non précisé","OK",""
"213CNNN","Data analyst","Non précisé","OK",""
"6278369","ALTERNANT(E) Data Analyst / Data & Project (H/F)","Yamaha Motor Manufacturing Europe","OK",""
"212WWML","Alternance - Master 2 en Data Business Intelligence (H/F)","COOPEMPLOI","OK",""
"6531772","Offre d'alternance - Ingénieur IA Optimisation des algorithmes d'IA appliqués à l'identification des polymères par imagerie hyperspectrale (H/F)","Plas'tri","OK",""
"6280640","Architecte IoT (H/F)","Non précisé","OK",""
"6445466","Développeur / Développeuse IA (H/F)","T'HOMPOUSS CONSULTANTS","OK",""
"6445540","Développeur / Développeuse d'application (H/F)","SERGI TRANSFORMER PROTECTOR","OK",""
"6280599","Architecte logiciel et développement applicatif (H/F)","Non précisé","OK",""
"6280613","Développeur d'applications (H/F)","Non précisé","OK",""
"212XFGL","Alternance - Développeur Intelligence Artificielle (H/F)","LARRERE ET FILS","OK",""
