id,intitule,entreprise,lieu,type_contrat,nature_contrat,duree_contrat,date_creation,salaire,experience_exigee,competences,description,url
213SGGN,Alternant Big Data et Gestion des données H/F (H/F),TEXEN,01 - Izernore,CDD - 12 Mois,Contrat apprentissage,"35H/semaine
Travail en journée",2026-09-10T17:30:58.641Z,,Débutant accepté,"Anglais technique, Data engineer, Déploiement de services cloud (cloud computing), Gestion des risques (Risk Management), Intelligence artificielle, Mastère spécialisé expert big data engineer, Master mention méthodes informatiques appliquées à la gestion des entreprises (MIAGE), Modélisation informatique, Programmation en Python, Programmation logicielle, Système d'exploitation Linux, Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle, Analyser, exploiter, structurer des données, Accompagner l'appropriation d'un outil par ses utilisateurs, Actualiser régulièrement ses connaissances, Apporter une assistance technique aux équipes, Assurer la maintenance préventive et les améliorations des infrastructures numériques, Collaborer dans un groupe pour réaliser un projet, Concevoir et développer une solution digitale, Déployer, intégrer un logiciel, un système d'informations, une application, Déterminer des mesures correctives, Développer une application en lien avec une base de données, Gérer et maitriser des bases de données (SQL/NoSQL), Identifier ses axes de progrès, Mettre en place des solutions d'amélioration de la performance, Modéliser une base de données, Paramétrer un logiciel métier et l'interfacer à d'autres applicatifs, Piloter des opérations de tests informatiques, Proposer des pistes d'amélioration des solutions, Recueillir et analyser les besoins client, Rédiger des documents d'ingénierie (rédaction des spécifications fonctionnelles et livrables techniques des solutions), Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...), Surveiller le fonctionnement d'applicatifs et logiciels, Utiliser l'anglais dans un contexte professionnel","Acteur incontournable des marchés du luxe, de la beauté et des industries de pointe à travers le développement et la fabrication de packaging et de pièces complexes, Texen rassemble aujourd'hui plus de 1500 collaborateurs répartis sur 8 sites industriels dans le monde. Texen apporte à ses clients des solutions innovantes et éco-responsables grâce aux talents de ses équipes et soutenu par une politique ambitieuse d'investissement de sa holding PSB INDUSTRIES.  Texen souhaite accélérer l'éco-transition du packaging Luxe & Beauté en tant que leader sur son marché en « transformant la matière en expérience de manière vertueuse », permettant ainsi de construire collectivement un avenir durable.  Rejoignez un groupe à taille humaine orienté long terme, qui promeut la responsabilité individuelle et collective porté par l'exigence et la bienveillance.  Nous recherchons un Alternant en Gestion des données et Big Data H/F basé sur notre siège social à BRION (01).  POURQUOI NOUS REJOINDRE ? - Parce que vous travaillez pour des clients du marché de la Cosmétique et avec des technologies récentes, variées et innovantes. - Parce que vous participerez au projet d'un groupe, porté par une ambition de croissance et qui place les enjeux environnementaux et sociétaux au cœur de son développement. -  Parce qu'accompagné(e) par nos équipes, vous pourrez développer votre potentiel et évoluer au sein d'une entreprise à taille humaine.  QUELLES SONT VOS PRINCIPALES ACTIVITES ? - Les missions principales qui vous seront confiées se réfèrent aux outils décisionnels (Power BI, SAP-BW/4, hana) en support à l'équipe BI ; - Acquérir les compétences concernant l'utilisation des solutions BI et exploration de l'existant - Gestion sur toute la partie opérationnelle de la solution ; Collection des données, Analyse des données, Restitutions des données - Participation au développement des solutions BI en collaboration avec les autres membres de l'équipe et les utilisateurs clés ; - Support aux utilisateurs métier Ces missions ne sont pas exhaustives et peuvent être modifiées selon les besoins du service et les compétences/appétences de l'apprenti(e).  VOTRE FORMATION, VOS COMPETENCES ET VOTRE PARCOURS : - Vous souhaitez intégrer un Bachelor ou un Master en informatique (type MIAGE) - Vous êtes à l'aise et avez une forte appétence pour les nouvelles technologies - Vous avez un goût prononcé pour les langages de développement - Vous êtes de nature autonome et savez être force de proposition pour soutenir l'équipe BI dans le développement de nos solutions. Ces capacités seront les clés de votre réussite dans ce Groupe en pleine expansion",https://candidat.francetravail.fr/offres/recherche/detail/213SGGN
213QWNF,Alternant Data Virtualisation / Denodo (H/F),Non précisé,92 - ASNIERES SUR SEINE,CDD - 12 Mois,Contrat apprentissage,"35H/semaine
Travail en journée...",2026-09-09T17:23:37.624Z,,Débutant accepté,"Analyse de données expérimentales, Java, Langages de programmation informatique, Logiciels de gestion de base de données, Modélisation et simulation, Programmation en Python, Système de Gestion de Bases de Données (SGBD), Système d'exploitation Unix, Système d'exploitation Windows, Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle, Adapter les outils de traitement statistique de données, Conduire des travaux d'études et de recherche, Définir et faire évoluer des procédés de traitement de l'information, Analyser des données pour prendre des décisions stratégiques, Analyser et prévenir les risques, Analyser et traiter l'information à des fins d'anticipation, Animer une démarche agile et innovante, Argumenter et anticiper les objections, Assurer le suivi de la qualité des données, Définir les solutions de stockage et de structuration des données, Etablir des prévisions, des évaluations, des recommandations, des perspectives, Exploiter des solutions de Data Science ou d'Intelligence Artificielle, Gérer des données massives, Lire et interpréter des données et documents techniques, au besoin en anglais, Mobiliser des données massives pour éclairer les prises de décisions, Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement, Paramétrer un logiciel, un outil, un système numérique, Piloter les étapes d'un projet agile et innovant, Procéder aux phases de tests et de recettes des applications développées, Structurer, synthétiser des informations, Traduire les demandes de l'entreprise en solutions techniques, Utiliser des logiciels spécifiques, Utiliser l'anglais dans un contexte professionnel","Nous vous proposons une alternance immersive au sein de Square IT Services, une ESN française spécialisée en intégration des systèmes, Data Virtualisation et transformation data. Intégrez une équipe dynamique dédiée à Denodo, leader mondial de la virtualisation de données, et travaillez sur des projets concrets chez des clients majeurs (banque, e-commerce, industrie). Cette alternance vous permettra de bénéficier de : - formation Denodo certifiante incluse (investissement Square IT Services) ; - encadrement par des experts de l'intégration de données et de la data virtualisation ; - expérience professionnelle valorisable avec une possibilité de préembauche en CDI ; - environnement humain et innovant, avec avantages complets (mutuelle, transport, paniers repas).  Nous recherchons un(e) étudiant(e) en Master 2 Data Science (ou équivalent) avec un parcours technique solide en SQL, Python, et analyse de données. Une familiarité avec Denodo, les APIs, ou les SGBD relationnels est un atout majeur, mais pas un prérequis absolu (formation incluse).  Missions principales :  En tant qu'alternant(e), vous serez intégré(e) à l'équipe et contribuerez aux différentes étapes d'un projet Denodo, sous la supervision de nos experts. 1. Développement et configuration Denodo (50%) : - création de vues virtuelles : développer des modèles de données unifiés à partir de sources hétérogènes (bases SQL, fichiers, APIs) ; - déploiement d'API REST/SOAP : exposer les données via Denodo pour alimenter d'autres systèmes ; - optimisation de requêtes : améliorer les performances via l'indexation, le caching, et la réécriture de requêtes ; - automatisation : participer à l'automatisation des tâches via scripts (Python, Shell) ou intégration avec d'autres outils d'intégration. 2. Support et recette (25%) - participation aux ateliers métiers : recueillir les besoins clients et proposer des solutions techniques adaptées ; - validation des livrables : contribuer à la recette fonctionnelle et technique en testant les flux de données et les APIs Denodo ; - documentation : rédiger des guides utilisateurs, des notes techniques ou des procédures pour les équipes. 3. Montée en compétences et innovation (25%) - formation Denodo : suivre la certification officielle Denodo Academy ; - contribution aux projets internes : participer à des prototypes innovants (ex : intégration Denodo + IA) ; - support aux équipes : aider les autres alternants ou consultants sur des tâches simples  Compétences techniques :  - SQL : Capacité à écrire des requêtes complexes, transformer des données, et optimiser des plans d'exécution. - Python : Maîtrise de NumPy, Pandas, Scikit-learn pour l'analyse de données, le Machine Learning ou l'automatisation. - Bases de données relationnelles (SGBD) : Expérience avec au moins un SGBD relationnel (PostgreSQL, Oracle, SQL Server, MySQL). - Denodo (Data Virtualisation) : Pas de prérequis absolu mais un gros plus pour votre candidature, une formation certifiante Denodo sera - dispensée en interne. Les projets de virtualisation utiliseront des compétences en Python/SQL transposable. - Java : Aptitude à comprendre et modifier du code Java pour des extensions Denodo ou des connecteurs. - APIs (REST, SOAP) : Compréhension des principes des APIs et de leur intégration via des outils comme Denodo. - Shell/Bash : Capacité à automatiser des tâches simples (ex : scripts de chargement de données).  Compétences comportementales (ces compétences sont particulièrement importantes pour un alternant, qui devra rapidement s'adapter à un nouvel environnement et collaborer avec des équipes variées) : - Rigueur et méthodologie ; - Adaptabilité et apprentissage ; - Esprit d'équipe ; - Curiosité technique ; - Aisance rédactionnelle.",https://candidat.francetravail.fr/offres/recherche/detail/213QWNF
213QBYH,Data analyst alternance/stage (H/F),UNION ST MARTIN,75 - Paris 6e Arrondissement,CDD - 6 Mois,Contrat apprentissage,"35H/semaine
Travail en journée",2026-09-09T10:58:01.602Z,Annuel de 14563.0 Euros,Débutant accepté,"Communiquer les résultats des études aux parties prenantes, Adapter les outils de traitement statistique de données","CE POSTE EST UN STAGE OU UNE ALTERNANCE POUR PREPARER UN BAC+3  Depuis sa création en 1963, l'Union Saint-Martin (USM) accompagne des associations à but non lucratif et des fondations intervenant dans les domaines de la protection sociale, de l'action sociale ainsi que du secteur sanitaire et médico-social. Fidèle à ses valeurs chrétiennes, elle est au service du clergé, des religieuses et des religieux. Elle s'adresse également à toutes les personnes qui se reconnaissent dans son projet et ses valeurs de solidarité. A ce jour, 6 entités font confiance à l'Union Saint-Martin et lui délèguent leur direction administrative et opérationnelle.  Rattaché(e) au Directeur de développement EMI et support logistique, vous participez à la création d'un infocentre destiné à centraliser, structurer et diffuser les données de l'entreprise. En tant que Data Analyst, vous transformez les données brutes en informations à forte valeur ajoutée pour l'équipe de gestion, la comptabilité et la Direction Générale. Vos travaux contribuent à l'élaboration de tableaux de bord, au pilotage de l'activité et à la production des comptes techniques.   Le(a) Data analyst F/H exercera les missions suivantes : - Recenser, analyser et cartographier les différentes sources de données (fichiers Excel, CSV, TXT et autres formats) ; - Concevoir et mettre en place une organisation pérenne, automatisée et sécurisée des données au sein de l'environnement Microsoft 365 Azure ; - Concevoir le modèle de données ; - Collecter, préparer, contrôler et enrichir les données ; - Développer des requêtes, tableaux de bord et rapports répondant aux besoins des différents services ; - Assurer la diffusion des données et administrer les droits d'accès dans le respect des règles de sécurité et de confidentialité ; - Rédiger et maintenir la documentation fonctionnelle et technique ainsi que les guides utilisateurs ; - Accompagner les utilisateurs dans la prise en main des outils et promouvoir les bonnes pratiques de gestion des données.  Profil : Vous préparez un BAC+3 Data, Informatique, SI orienté Office 365 : - Azure ; - Microsoft Fabric, Lakehouse ; - Power BI, DAX ; - Excel avancé ; - Power Query ; - Copilot Studio. Vous êtes organisé(e) et rigoureux(se) Vous avez un esprit de synthèse et d'analyse Vous faite preuve d'écoute active et d'un bon relationnel  Informations utiles : Contrat d'apprentissage/professionnalisation de 6 mois (avec un rythme de 2/3 semaines en entreprise) Poste basé à Paris 6ème Poste en 35h L'accord de télétravail de l'USM ne prévoit pas de TT pour les stagiaires/alternants 11€ Tickets restaurants pris en charge à 60% par l'employeur Salaire selon grille",https://candidat.francetravail.fr/offres/recherche/detail/213QBYH
6764798,Data Miner (38970) (H/F),NAOS,13 - Aix-en-Provence,CDD - 24 Mois,Contrat apprentissage,35H/semaine,2026-09-09T10:03:08.363Z,,Expérience exigée,,"QUI SOMMES-NOUS   NAOS est une entreprise internationale française spécialisée dans le Skincare, présente dans 130 pays et qui emploie plus de 3500 personnes.  NAOS est l'entreprise fondatrice de 3 marques dermo-cosmétiques : BIODERMA, INSTITUT ESTHEDERM et ETAT PUR, réunies autour d'une approche scientifique unique : l'Écobiologie.  Notre modèle est lui aussi singulier : NAOS est détenue par un fonds de dotation à but non lucratif, dédié au développement du potentiel humain. Aujourd'hui, NAOS est une entreprise à raison d'être dont la vocation est d'aimer, comprendre et prendre soin du vivant.   EN QUELQUES MOTS   Nous recrutons un(e) Chef(fe) de projet Master Data    *  Type de contrat : Alternance    *  Localisation : Aix-en-Provence    *  Secteur : Dermo-cosmétique   *  Date de démarrage : dès que possible   *  Statut : Alternant    *  Rémunération : entre 653,46€ et 1 877,13€ bruts mensuels   QUI NOUS RECHERCHONS   L'équipe Master Data Groupe, basée à Aix-en-Provence, recherche un(e) Chef(fe) de projet Master Data en contrat d'apprentissage, dès que possible.  Vos principales responsabilités:   *  Vous analysez la qualité des données et mener des démarches de résolution de problèmes   *  Vous créez des nomenclatures dans le système, en collaboration avec les différentes équipes du développement des nouveaux produits   *  Sur l'ensemble de nos données techniques et de production, vous proposez une approche nouvelle d'exploitation de données et créer les outils de mesure et de reporting associés (via l'IA par ex.)   *  Vous participez à la structuration de ce nouveau processus en rédigeant des modes opératoires et en formant les opérationnels  Selon votre profil et vos appétences, vous pouvez être amené.e à travailler sur d'autres projets, notamment des automatisations et l'intégration de l'IA dans le quotidien du service.   Votre profil:   *  Vous êtes en Bac+4 ou Bac+5 d'un Master Data    *  Vous justifiez idéalement d'une première expérience en gestion du changement ou transformation des SI   *  Vous êtes motivé.e pour évoluer dans un environnement de fabrication dans une entreprise avec une forte culture produit. Vos qualités d'analyse, d'organisation et de rigueur sont reconnues. Vous êtes également doté.e d'un bon relationnel et avez le goût du travail en équipe   *  Vous maîtrisez les outils de gestion des systèmes d'information et de bureautique, notamment le pack Office. Des notions de programmation, des connaissances en BI et gestion de BDD (SQL) sont un avantage.",https://candidat.francetravail.fr/offres/recherche/detail/6764798
6748181,Apprentissage Data Analyst supply risk management F/H,CIS bio international,91 - Saclay,CDD - 12 Mois,Contrat travail,"35H/semaine
Travail en journée",2026-09-09T04:31:49.720Z,,Débutant accepté,,"RESPONSABILITÉS :   CCD Apprentissage 12 ou 24 mois Basé à Saclay (91) Début Asap Au sein des équipes achats et supply, vous serez amené(e) à travailler sur des projets à fort enjeu, notamment autour de la gestion des risques d'approvisionnement, de la fiabilisation des données fournisseurs et articles, ainsi que de la digitalisation des flux transport.   1. Supply Risk Management Vous contribuerez à développer une approche proactive de la gestion des risques liés à la supply chain :  - Identifier et analyser les principaux risques d'approvisionnement ;  - Construire et alimenter une base de données dédiée au suivi des risques supply ;  - Définir et mettre en place des KPI pertinents permettant d'anticiper les situations à risque ;  - Participer à la définition de plans d'action automatisés visant à limiter les impacts sur la chaîne d'approvisionnement ;  - Contribuer à sécuriser et garantir la continuité d'approvisionnement en médicaments radiopharmaceutiques ;  - Mettre en place des bases de données communicantes afin de centraliser, fiabiliser et exploiter les informations fournisseurs issues de la chaîne Achats-Supply. 2. Gestion et fiabilisation des données fournisseurs & articles Vous participerez à la digitalisation et à l'amélioration des processus liés aux données :  - Contribuer à l' automatisation des commandes ;  - Identifier les étapes pouvant faire l'objet de contrôles ou de validations automatiques ;  - Définir et mettre en place des règles de validation automatisées afin d'améliorer la fiabilité des données ;  - Participer à l'amélioration continue des bases de données fournisseurs et articles. 3. Sourcing d'une solution TMS (Transport Management System) Dans le cadre de la digitalisation de la gestion du transport, vous serez également impliqué(e) dans le sourcing d'une solution TMS :  - Réaliser un benchmark des solutions TMS disponibles sur le marché ;  - Analyser leurs fonctionnalités, avantages, limites et adéquation avec nos besoins ;  - Recueillir et formaliser les besoins des différentes parties prenantes ;  - Formuler des recommandations structurées pour orienter le choix de la solution ;  - Participer à la mise en place d'un POC (Proof of Concept) avec un ou plusieurs transporteurs stratégiques ;  - Suivre les résultats du POC et contribuer à l'identification des axes d'amélioration.  PROFIL RECHERCHÉ :   Vous préparez une formation de niveau Bac+4/5 en Supply Chain, Achats, Data/Business Analytics, Génie industriel ou équivalent, et recherchez une alternance vous permettant de travailler sur des projets concrets mêlant Supply Chain, data et digitalisation. Vous êtes :  - À l'aise avec l'analyse et la structuration de données ;  - Doté(e) d'un esprit analytique et d'une bonne capacité de synthèse ;  - Curieux(se), autonome et force de proposition ;  - Intéressé(e) par les outils digitaux et l'automatisation des processus ;  - À l'aise pour travailler avec différents interlocuteurs (Achats, Supply Chain, Transport, Fournisseurs, etc.) ;  - Rigoureux(se) et organisé(e), avec une réelle sensibilité à la fiabilité des données. Une première connaissance d'outils tels qu' Excel avancé, Power BI, SQL, Python, ERP ou outils de gestion de bases de données serait un plus.",https://candidat.francetravail.fr/offres/recherche/detail/6748181
213NWCD,(ALTERNANCE) - Analyste data des procédés industriels (H/F),AUTOMOTIVE CELLS COMPANY SE,62 - Billy-Berclau,CDD - 12 Mois,Contrat apprentissage,"35H/semaine
Travail en journée",2026-09-08T12:51:43.887Z,,Débutant accepté,"Application web, Rédiger un cahier des charges, des spécifications techniques, Déterminer des mesures correctives, Surveiller le fonctionnement d'applicatifs et logiciels, Recueillir et analyser les besoins client","En rejoignant ACC, vous contribuez à façonner l'avenir de la mobilité électrique : nos batteries équipent déjà les PEUGEOT E-3008 et E-5008, Opel Grandland, DS N°8, Citroën C5 Aircross et Jeep Compass - et bientôt Mercedes !  Description du poste  Au sein du périmètre du processus de fabrication des cellules :    * Collecter, nettoyer et analyser les données provenant de nos machines, des instruments de mesure en ligne et hors ligne, du système MES, de la météo etc., afin d'identifier des tendances et de générer des informations pertinentes. Etudier les relations entre les paramètres, faire des corrélations, tester des modèles afin d'en déduire des modes de fonctionnement à soumettre aux équipes sur le terrain.    * Soutenir les besoins d'analyse des Ingénieurs Process et des équipes de Production via le développement Développement d'outils partageables pour les utilisateurs, déploiement de tableaux de bord (dashboards) et mise à disposition de solutions de suivi des performances. afin de faciliter la montée en cadence de nos gigafactories.    * Développer des outils permettant d'analyser les lots de production ainsi que les indicateurs de défaillance et permettre d'établir le lien entre nos données Process et Produits.    * Assister ou piloter des activités locales liées aux projets de données, nécessitant une présence et du temps sur le terrain (atelier de production).    * Collaborer avec d'autres équipes sur des activités transverses liées aux données, couvrant plusieurs étapes du processus de fabrication.    * Recueillir et consolider les nouveaux besoins métier dans le périmètre concerné.    * Participer aux réunions d'équipe afin de discuter de l'avancement des projets, des prochaines étapes et de communiquer les résultats obtenus.    * Déplacements à prévoir vers nos sites de production, notamment la Gigafactory à Billy Berclau.    Votre profil correspond si :   * Votre formation est orientée vers l'analyse de données, avec une aisance dans la gestion de grands volumes de données provenant de bases de données multiples, l'étude de séries temporelles, l'analyse de corrélation, la visualisation de données, les statistiques de base (identification des points aberrants par exemple), les méthodes de résolution de problèmes et l'analyse des causes racines (root cause analysis).    * Une appétence pour l'environnement industriel : curiosité requise, prise en main de son sujet en intégralité (construire son jeu de donnée, l'améliorer en discutant avec les spécialistes, définir de nouveaux indicateurs, veiller et questionner la qualité des données entrantes, etc.), adaptabilité (arrivée en cours de nouveaux sujets devenant prioritaires), mettre à disposition de manière régulière les avancées.    * Vous aimez réfléchir sur comment présentez et communiquez au mieux vos résultats aux différents interlocuteurs.    * Vous possédez un dîplome de niveau Bac+3 (Bachelor) dans un domaine lié à la donnée (data), tel que les statistiques, l'informatique, les mathématiques ou une discipline équivalente.    * Vous maitrisez les outils d'analyse de données tels que Python, SQL et Power BI.    * Vous maitrisez l'anglais oral et écrit.",https://candidat.francetravail.fr/offres/recherche/detail/213NWCD
213PJFQ,(ALTERNANCE) - Ingénieur Vision (H/F),AUTOMOTIVE CELLS COMPANY SE,62 - Billy-Berclau,CDD - 24 Mois,Contrat apprentissage,"35H/semaine
Travail en journée",2026-09-08T16:18:03.211Z,,1 An(s),"Analyser, exploiter, structurer des données","En rejoignant ACC, vous contribuez à façonner l'avenir de la mobilité électrique : nos batteries équipent déjà les PEUGEOT E-3008 et E-5008, Opel Grandland, DS N°8, Citroën C5 Aircross et Jeep Compass - et bientôt Mercedes !  Description du poste  Contribuer au développement et à la mise en œuvre de solutions de vision industrielle (machine vision) visant à améliorer les niveaux de performance. Cela comprend notamment :   * L'acquisition d'images et la collecte de données.  * L'annotation d'images et l'étiquetage des données.  * Le développement de logiciels de vision industrielle.  * L'entraînement et l'optimisation de modèles d'intelligence artificielle.  * La qualification et la validation des solutions de vision par rapport aux objectifs qualité définis.   Votre profil correspond si :   * Vous avez un background en traitement d'images et en vision par ordinateur.  * Vous possédez des compétences en programmation : maîtrise de Python, C++ et d'autres langages de programmation pertinents.  * Vous connaissez les bibliothèques et frameworks de vision et d'IA :    incluant OpenCV, TensorFlow, PyTorch, Keras, etc.  * Vous avez des bases en intelligence artificielle (IA) et en apprentissage automatique (ML): compréhension des principes, des algorithmes et de leurs applications dans des contextes industriels.  * Vous préparez une licence en sciences de l'ingénierie ou en informatique  *  Vous possédez les compétences comportementales suivantes : bonne relation avec les fournisseurs, esprit d'équipe, sens de l'organisation, capacité à être concis et clair (à l'oral comme à l'écrit)   Pourquoi nous rejoindre ?   Carte restaurants   Intéressement   CSE attractif : cartes cadeaux, chèques vacances, billetterie, sorties organisées...  Indemnités kilométriques   Prime cooptation  2 offres de livraison repas + frigos connectés  Environnement multiculturel et inclusif   Accès à la plateforme goFluent pour développer vos compétences linguistiques  Equipements récents et de haute technologie      Notre processus de recrutement :   * Pré-qualification téléphonique : un premier échange pour comprendre votre parcours, vos motivations et répondre à vos questions.   * Entretiens techniques (2 étapes) : échanges avec les managers pour évaluer vos compétences et mise en perspective avec les enjeux du poste et de l'équipe.  * Entretien RH : un entretien approfondi, appuyé par une évaluation comportementale, qui revient sur les points clés évoqués lors des entretiens techniques, aborde votre projection au sein d'ACC ainsi que les conditions d'embauche.",https://candidat.francetravail.fr/offres/recherche/detail/213PJFQ
213JGJC,Alternance DRH DATA et SI - Master RH/DATA (BAC+4/5) H/F (H/F),RAIL LOGISTICS EUROPE,93 - SAINT-OUEN-SUR-SEINE,CDD - 24 Mois,Contrat apprentissage,"35H/semaine
Travail en journée",2026-09-03T12:32:08.900Z,,Débutant accepté,"Maîtrise d'un outil de gestion de flux (Kafka, Flink…), Analyser, exploiter, structurer des données, #TDFE2026","Notre ambition ? Être le transporteur le plus décarboné d'Europe et transformer en profondeur nos métiers. Pour accompagner cette dynamique, la Direction des Ressources Humaines RLE recherche son/sa futur(e) alternant(e). En collaboration directe avec la DRH Groupe, la Directrice Talent et Transformation Managériale et la Directrice Engagement et Performance RH, vous agirez en véritable bras droit opérationnel sur des projets à fort impact.    Dans le cadre de la construction et du déploiement du Système d'Information RH (SIRH) de la DRH RLE, l'alternant(e) contribuera activement à la structuration de la donnée RH et à la digitalisation des processus RH du Groupe. Il/elle travaillera en lien étroit avec les équipes RH opérationnelles ainsi qu'avec la Direction des Systèmes d'Information (DSI), dans une logique de collaboration transversale et de montée en compétences progressive. Les missions sont organisées autour de cinq axes prioritaires.     SIRH & Déploiement Outil :     Participer au déploiement et au paramétrage du nouvel outil sur les modules RH clés (gestion de la formation, entretiens annuels et de développement, etc.)  Réaliser les phases de recette fonctionnelle : conception et exécution de scénarios de tests, identification des anomalies et remontée structurée auprès des équipes projet et éditeur  Contribuer à la rédaction de la documentation fonctionnelle complète : cartographie des processus, guides utilisateurs, procédures internes, fiches réflexes  Assurer le support de premier niveau aux utilisateurs RH lors des phases de déploiement et de stabilisation de la solution     Données RH & Qualité :     Collecter, structurer et fiabiliser les données RH issues des différents outils en coexistence (SuccessFactors, fichiers Excel, SIRH legacy, etc.)  Réaliser des contrôles de cohérence et de qualité des données portant sur les effectifs, les contrats, la paie, les absences, les formations et autres périmètres RH  Participer à la construction du dictionnaire de données RH : nomenclatures, règles de gestion, fréquences de mise à jour, propriétaires des données  Contribuer à la mise en conformité des données RH avec le Règlement Général sur la Protection des Données (RGPD)     Reporting & Data Visualisation - Power BI / Excel :     Concevoir et développer des tableaux de bord RH sous Power BI pour le pilotage de l'activité : suivi des effectifs, absentéisme, masse salariale, formation, recrutement, turnover, etc.  Créer et maintenir des reportings réguliers sous Excel : tableaux croisés dynamiques avancés, formules complexes, macros VBA, Power Query  Automatiser et fiabiliser les extractions de données à destination des différentes parties prenantes internes (DRH, Direction Générale, CSE, etc.)  Proposer des indicateurs de performance RH (KPIs) pertinents et adaptés aux enjeux stratégiques de RLE     Conduite du Changement & Accompagnement Utilisateurs :     Participer à la conduite du changement liée à la mise en place du nouveau SIRH : élaboration de plans de communication, supports de formation, FAQ  Animer des sessions de formation et de sensibilisation aux outils pour les équipes RH des différentes entités du Groupe  Être force de proposition sur l'amélioration continue des processus et des outils RH digitaux, en s'appuyant sur les retours terrain des utilisateurs     Projets SI RH - Participation Transverse :     Contribuer aux groupes de travail et réunions de projet en lien avec la DSI, les éditeurs de solutions et les intégrateurs  Rédiger les comptes-rendus de réunions, formaliser les décisions et assurer le suivi rigoureux des actions identifiées  Participer à l'expression des besoins métiers RH en vue d'évolutions fonctionnelles ou d'intégrations nouvelles dans le SI",https://candidat.francetravail.fr/offres/recherche/detail/213JGJC
6494527,Analyste qualité des données (404275) (H/F),VILMORIN-MIKADO,49 - Ménitré,CDD - 12 Mois,Contrat apprentissage,,2026-09-01T10:03:13.158Z,,1 An(s),,"Avec pour maison-mère une coopérative agricole française installée dans la plaine de Limagne-Val d'Allier, au coeur de l'Auvergne, Limagrain est un groupe semencier et agroalimentaire fort de plus de 9 600 collaborateurs et présent dans 53 pays.  4e semencier mondial, Limagrain a réalisé un chiffre d'affaires de 2 522 millions d'euros en 2023-2024, auquel s'ajoutent 729 millions d'euros de chiffre d'affaires des activités réalisées conjointement avec ses partenaires stratégiques. Finalité du poste  Le service Commercial Excellence a pour objectif d'améliorer l'expérience client en optimisant l'efficacité des ventes. Pour cela notre objectif est d'identifier les actions nécessaires à la couverture commerciale de nos marchés internationaux (12 filiales en Asie, Amérique, EMEA), en s'appuyant sur l'analyse des données capturées dans nos différents outils, CRM, ERP et spécifiques métiers. Le ou la futur(e) alternant(e) contribuera à la capture des données en quantité et qualité, puis les analysera pour identifier les plans d'actions à faire implémenter par les ventes.  Vos Missions    *  Analyser les datas existantes et manquantes de la CRM avec nos outil BI Micro Strategy puis Power BI (transition en 2027)   *  Appeler les vendeurs, sinon les sales managers (maîtrise minimum de l'anglais, l'Espagnol est un plus, autres langues VMK bienvenues) pour nettoyer les datas incohérentes et assurer la qualité de la data   *  Analyser les datas obtenues pour orienter les plans d'actions opérationnels auprès des filiales : priorités de couvertures marchés et clients, identification des réservoirs de croissance (prospects, produits.).   *  Construire les dashboard de pilotage de l'activité dans nos outils BI (Power BI)    Niveau BAC +5 commerce ou ingénieur Bonne maîtrise de la BI (Power BI) et intérêt marqué pour le traitement de données Maîtrise du Français et de l'Anglais au minimum Qualités requises : rigoureux, enthousiaste, sociable Goût pour le travail en équipe  Ce que vous allez trouver chez nous  Poste basé au siège français de Vilmorin-Mikado à La Ménitré (49) pour une durée de 12 mois, à pourvoir à partir de septembre 2026. Commune desservie par le train, covoiturage possible. Vilmorin-Mikado propose aussi : - Un accompagnement RH dédié aux alternants, un parcours d'intégration, - Une communauté d'alternants avec des moments de convivialité - 13ème mois, participation et intéressement - Acquisition de RTT - Un restaurant d'entreprise - Un Comité Social d'Entreprise proposant diverses activités - Accès gratuit à des activités sportives 3 jours par semaine  Process de recrutement  Entretien commun services RH et Commercial Excellence",https://candidat.francetravail.fr/offres/recherche/detail/6494527
213CNNV,Alternant(e) Data & IA (H/F),Non précisé,974 - LA POSSESSION,CDD - 24 Mois,Contrat apprentissage,"35H/semaine
Travail en journée",2026-08-31T06:28:33.918Z,,Débutant accepté,"Développer des modèles prédictifs pour l'analyse de données, Documenter les processus et les architectures d'IA, Optimiser les performances des systèmes d'IA","Étudiant(e) préparant un Master ou Mastère Data (Bac+5), vous aurez pour missions : Un parcours guidé sur 2 ans avec un tuteur dédié pour monter en compétences sur la gestion de projet, l'architecture data et la restitution. Ce qui vous attend chez nous : Un environnement technique structuré : Python, SQL Server, Power BI, Power Automate. De l'autonomie et du sens : cadrage des besoins métiers, fiabilisation des flux et projets exploratoires autour de l'IA.",https://candidat.francetravail.fr/offres/recherche/detail/213CNNV
