id,intitule,entreprise,lieu,type_contrat,teletravail,date_debut,duree_contrat_mois,niveau_diplome,nb_postes,competences_attendues,competences_a_acquerir,description,url_candidature,telephone_candidature,recipient_id,is_delegated,partner_label,codes_rome
6aa32b30c7fa79d3937d9e7a,Business analyst (H/F),MUTUELLE INTERIALE,75009 Paris 9e Arrondissement,Professionnalisation,,,12,,1,,,"Ambition du poste Rattaché(e) au pôle coordination du développement au sein de la Direction Développement Innovation et Stratégie Client, vous serez amené à participer l'analyse de la production et de l'activité commerciale ainsi qu'à la réalisation et le suivi des reportings. Vous intégrez un service qui occupe un rôle clé dans notre stratégie de développement. Missions du poste  - Bâtir, maintenir et partager les tableaux de bord d'analyse de la production et de l'activité commerciale. - Suivre les résultats individuels des commerciaux et l'atteinte des objectifs. - Contribuer à la fiabilisation des données commerciales par la mise en place des outils de contrôle et d'amélioration continue. - Participer à l'élaboration des procédures d'optimisation des process en coordination avec les autres membres de l'équipe.     Etudiant(e) préparant un niveau bac +4 à 5 en école d'ingénieur ou en école de commerce, vous souhaitez bénéficier d'une expérience enrichissante en tant que Business Analyst.  La maîtrise des outils décisionnels de requête serait un plus fortement apprécié.  Vous maîtrisez les logiciels informatiques (Excel, PowerPoint ...) Vous disposez d'une grande capacité à faire parler les chiffres et une facilité à les interpréter de manière opérationnelle.  Votre travail est orienté client et centré sur l'action et les résultats. Vous êtes méthodique, analytique, rigoureux(se) et avez le sens de l'écoute.  Vous faites preuve de curiosité et avez le goût du travail en équipe. Rythme d'alternance souhaité : 4jours/1 jour ou 3 semaines 1 semaine ou 3 jours 2 jour   Envie d'une expérience riche?? Venez construire votre avenir professionnel avec une alternance stimulante et formatrice au sein de la mutuelle Interiale?!   Remboursement transports (65%)  Une mutuelle (cotisation employeur de 60%) et prévoyance  Des titres restaurants?: 10 EUR / jour (participation employeur de 5.65 EUR)  Comité d'entreprise et ses nombreux avantages (chèques cadeaux, vacances, CESU...) Une organisation du travail hybride : 3 jours/sem de télétravail Vous rejoignez un espace de travail formel et informel, un lieu de convivialité pour rendre l'expérience collaborateur la plus agréable possible.  Un rooftop avec vue sur la Tour Eiffel.  De nombreuses initiatives sont aussi organisées régulièrement pour?renforcer les liens entre les collaborateurs et favoriser le bien-être au travail?: participation à des courses, tournoi de foot intersites, chorale d'entreprise, événements thématiques (concours photos d'été, calendrier de l'Avent digital...).",http://app.mytalentplug.com/description-offre.aspx?ojid=dkPVrttp702wDFvj/IEcRg==,,,False,France Travail,M1419
6aa32b30c7fa79d3937d9e7c,Alternance Data Analyst Clients - - Paris (F/H),,75001 Paris,Professionnalisation,,,12,,1,,,"Rattaché au pôle informatique et data analyse, vos missions seront de :Collecter les données clients,Contacter les clients par téléphone, e-mail et ponctuellement lors de visites pour compléter les informations,Renseigner et mettre à jour les données dans le nouvel outil métier,Vérifier la fiabilité et la qualité des informations saisies,Assurer le suivi des dossiers incomplets et effectuer les relances nécessaires,Participer ponctuellement à la planification et à la coordination de certaines interventions.",https://www.directemploi.com/candidatOffre/56301598?utm_source=pole-emploi&utm_medium=referral&utm_campaign=Pôle-Emploi,,,False,France Travail,M1419
6aa1d98ec7fa79d3937d2b03,Data analyst alternance/stage (H/F),UNION ST MARTIN,75006 Paris 6e Arrondissement,Apprentissage,,,6,"Bac, Bac Pro, BP (Bac)",1,,"Communiquer les résultats des études aux parties prenantes, Adapter les outils de traitement statistique de données","CE POSTE EST UN STAGE OU UNE ALTERNANCE POUR PREPARER UN BAC+3  Depuis sa création en 1963, l'Union Saint-Martin (USM) accompagne des associations à but non lucratif et des fondations intervenant dans les domaines de la protection sociale, de l'action sociale ainsi que du secteur sanitaire et médico-social. Fidèle à ses valeurs chrétiennes, elle est au service du clergé, des religieuses et des religieux. Elle s'adresse également à toutes les personnes qui se reconnaissent dans son projet et ses valeurs de solidarité. A ce jour, 6 entités font confiance à l'Union Saint-Martin et lui délèguent leur direction administrative et opérationnelle.  Rattaché(e) au Directeur de développement EMI et support logistique, vous participez à la création d'un infocentre destiné à centraliser, structurer et diffuser les données de l'entreprise. En tant que Data Analyst, vous transformez les données brutes en informations à forte valeur ajoutée pour l'équipe de gestion, la comptabilité et la Direction Générale. Vos travaux contribuent à l'élaboration de tableaux de bord, au pilotage de l'activité et à la production des comptes techniques.   Le(a) Data analyst F/H exercera les missions suivantes : - Recenser, analyser et cartographier les différentes sources de données (fichiers Excel, CSV, TXT et autres formats) ; - Concevoir et mettre en place une organisation pérenne, automatisée et sécurisée des données au sein de l'environnement Microsoft 365 Azure ; - Concevoir le modèle de données ; - Collecter, préparer, contrôler et enrichir les données ; - Développer des requêtes, tableaux de bord et rapports répondant aux besoins des différents services ; - Assurer la diffusion des données et administrer les droits d'accès dans le respect des règles de sécurité et de confidentialité ; - Rédiger et maintenir la documentation fonctionnelle et technique ainsi que les guides utilisateurs ; - Accompagner les utilisateurs dans la prise en main des outils et promouvoir les bonnes pratiques de gestion des données.  Profil : Vous préparez un BAC+3 Data, Informatique, SI orienté Office 365 : - Azure ; - Microsoft Fabric, Lakehouse ; - Power BI, DAX ; - Excel avancé ; - Power Query ; - Copilot Studio. Vous êtes organisé(e) et rigoureux(se) Vous avez un esprit de synthèse et d'analyse Vous faite preuve d'écoute active et d'un bon relationnel  Informations utiles : Contrat d'apprentissage/professionnalisation de 6 mois (avec un rythme de 2/3 semaines en entreprise) Poste basé à Paris 6ème Poste en 35h L'accord de télétravail de l'USM ne prévoit pas de TT pour les stagiaires/alternants 11€ Tickets restaurants pris en charge à 60% par l'employeur Salaire selon grille",https://candidat.francetravail.fr/offres/recherche/detail/213QBYH,,,False,France Travail,M1419
6a9c93a0192e2b0661763a3e,Alternant(e) Data Analyst F/H,UNION INVIVO (Bioline),92400 Courbevoie,Professionnalisation,,,12,,1,,,"Le Pôle InVia réunit s coopératives agricoles autour d'une ambition commune : mieux valoriser leurs données pour développer des usages concrets au service des métiers et de la performance des coopératives. Le Pôle InVia travaille notamment sur la mutualisation et la valorisation des données, la construction de référentiels communs et le développement de cas d'usages data répondant à des problématiques agricoles et métiers. Dans ce contexte, nous recherchons un(e) alternant(e) Data Analyst, avec une réelle appétence pour le secteur agricole, pour contribuer au développement des projets Data du Pôle InVia.  Missions 1. Contribuer aux cas d'usage data du Pôle InVia En appui du Responsable data, vous participerez à la conception et à la mise en ouvre des différents cas d'usage portés par InVia : -Préparation et analyse des données nécessaires aux projets -Exploration des données et réalisation d'analyses permettant de répondre aux problématiques métiers -Construction d'indicateurs et de visualisations -Participation aux phases de test et de validation des solutions -Analyse des résultats et identification de pistes d'amélioration Les sujets pourront concerner par exemple les pratiques agricoles, les rotations culturales, les intrants, les produits phytosanitaires ou encore les observations agronomiques.  2. Participer à la gestion et à la valorisation des référentiels Data Vous contribuerez à identifier, qualifier et rendre exploitables les données nécessaires aux différents cas d'usage : -Identification et collecte de sources de données  -Analyse de leur contenu et de leur structure -Évaluation de la qualité et de la cohérence des données -Nettoyage, rapprochement et standardisation des données -Optimisation des référentiels afin de faciliter leur réutilisation dans différents projets Les référentiels pourront notamment concerner les parcelles et cultures (RPG), les sols, les territoires, les produits et intrants agricoles ou d'autres données agronomiques.  3. Appuyer opérationnellement les groupes de travail InVia Les cas d'usage sont construits avec les coopératives membres du Pôle au travers de groupes de travail. Vous apporterez un soutien opérationnel à leur préparation et à leur suivi : -Préparation des données, analyses et supports nécessaires aux séances -Préparation des éléments permettant d'éclairer les décisions du groupe -Formalisation et suivi des actions décidées     Nous recherchons avant tout un profil curieux, analytique et concret, capable de travailler avec des données tout en cherchant à comprendre les problématiques métiers auxquelles elles doivent répondre. Formation Bac +4 / Bac +5 en : -Data / Data Analytics -Agronomie avec spécialisation Data -École d'ingénieur généraliste ou agricole avec une forte composante Data Une bonne maîtrise ou une première expérience de : -Manipulation de jeux de données volumineux ou provenant de sources différentes -Nettoyage, contrôle qualité et structuration de données -Analyse et visualisation de données -Power Bi, Excel et outils de business intelligence Qualités recherchées -Intérêt marqué pour l'agriculture et les problématiques agronomiques -Curiosité et envie de comprendre les données et ce qu'elles représentent -Rigueur dans la manipulation et le contrôle des données -Capacité d'analyse et esprit de synthèse -Autonomie et capacité à faire avancer concrètement un sujet -Capacité à échanger avec des profils métiers et techniques -Goût pour les projets collaboratifs",http://app.mytalentplug.com/redirection.aspx?ojid=oCY/ihGVpMbKrjoUOTRecg==,,,False,France Travail,M1419
6a95fc7192c585e6505c246f,Alternance Alternance - Contrôle de Gestion / Data Analyst (H/F) - Menton (F/H),,06500 Menton,Professionnalisation,,,12,,1,,,"Vos missionsRattaché(e) à la direction financière, vous participerez notamment à :Concevoir et mettre à jour des tableaux de bord de pilotage et des indicateurs de performance (KPI).Collecter, fiabiliser, structurer et analyser les données issues de différentes sources.Participer à l'élaboration des reportings mensuels et des analyses financières.Contribuer au processus budgétaire et aux prévisions d'activité.Identifier des axes d'amélioration des performances et proposer des recommandations basées sur l'analyse des données.Automatiser les reportings et optimiser les processus de traitement des données.Collaborer avec les équipes opérationnelles afin de répondre à leurs besoins en matière d'analyse et de pilotage.Participer à des projets transverses liés à la digitalisation de la fonction Finance.",https://www.directemploi.com/candidatOffre/55737907?utm_source=pole-emploi&utm_medium=referral&utm_campaign=Pôle-Emploi,,,False,France Travail,M1419
6a95fc7392c585e6505c26ae,Data analyst,,97419 La Possession,Apprentissage,,,12,"Bac, Bac Pro, BP (Bac)",1,,"Communiquer les résultats des études aux parties prenantes, Adapter les outils de traitement statistique de données","Afin de préparer un Bac+3/+5 avec une bonne maîtrise de Python, SQL et de l'écosystème Microsoft. Vous aurez pour missions : le traitement de données, modélisation SQL Server, automatisation Power Automate, dashboards, Power BI et veille IA.   Au d'un environnement technique structuré : Python, SQL Server, Power BI, Power Automate. De l'autonomie et du sens : cadrage des besoins métiers, fiabilisation des flux et projets exploratoires autour de l'IA.  N'hésitez pas à nous envoyer CV et lettre de motivation, toutes candidatures sans lettre de motivation sera refusée.",https://candidat.francetravail.fr/offres/recherche/detail/213CNNN,,,False,France Travail,M1419
6a8f653b5afa25d80735760f,ALTERNANT(E) Data Analyst / Data &amp; Project (H/F),Yamaha Motor Manufacturing Europe,02100 Saint-Quentin,Apprentissage,,,12,,1,,,"Missions :   - Exploitation de la data pour améliorer la performance industrielle   - Collecter et consolider les données issues des systèmes industriels et métiers   .  Nettoyer filtrer et structurer les données (logique ETL)   - Garantir la fiabilité, la cohérence et la disponibilité des données   - Analyser les données pour identifier les tendances, anomalies et leviers d'optimisation   - Concevoir et suivre des indicateurs de performances (KPI)   - Construire, développer et maintenir des tableaux de bord interactifs (Power Bi)   - Recueillir les besoins des équipes (production, qualité, logistique, .)   - Traduire les problématiques opérationnelles en solutions data concrètes   - Contribution à la structuration et à l'innovation data (projets &amp; IA)   - Participer à la mise en place de premiers cas d'usage en intelligence artificielle (IA)   - Développer des outils d'automatisation   - Participer au pilotage de projets informatiques   - Structurer et améliorer le suivi des projets (qualité, coûts, délais)   - Formation des utilisateurs  - Étudiant(e) en Master ou Mastère Informatique, data, statistiques, école d'ingénieur.   - Intérêt pour la data visualisation, pour la Business Intelligence et pour l'IA et l'automatisation.   - Notions de développement (Python, JavaScript, SQL, APIs.).   Autonomie, rigueur, esprit analytique et capacité à travailler en équipe.",https://www.lindustrie-recrute.fr/candidat/offre/824345?utm_source=NQ==,,,False,France Travail,M1419
6a84d93efca7a1d03b06314d,(Alternance) Data Analyst H/F,,92100 Boulogne-Billancourt,Professionnalisation,,,12,,1,,,"Solocal est le partenaire digital, local, de confiance de toutes les entreprises pour accélérer leur croissance. Solocal s'appuie sur six actifs stratégiques : des médias à très fortes audiences (PagesJaunes, Localpartner, OoTravaux.), la puissance de sa data géolocalisée, des plateformes technologiques évolutives, sa couverture commerciale dans toute la France, des partenariats privilégiés avec les GAFAM et de nombreux talents (experts en matière de data, de développement, de digital marketing, etc.). L'offre Solocal s'articule autour de différentes solutionsp&gt;L'offre Référencement prioritaire pour permettre à nos clients de bénéficier de la puissance de notre média PagesJaunes. L'offre Connect, permettant à nos clients d'assurer leur visibilité, d'interagir avec leurs clients (messagerie instantanée, gestion des avis) et de développer leur business (Prise de RDV, Devis en lignep&gt;L'offre Sites internet  La publicité digitale (le Display, l'offre à la Perf Booster Contact, la publicité sur Facebook avec l'offre Socialp&gt;Une gamme de solutions digitales complètes adaptés aux Réseaux d'enseignes et à leurs points de vente : Store Locator, Local Impact, Présence Managementp&gt;Les informations liées aux offres et à la société sont accessibles sur le site https://www.solocal.com/ Finalité du poste :Au sein de l'équipe Data Analyse de la Direction Data &amp; IA, l'alternant Data Analyst contribuera à la valorisation des données de Solocal afin d'éclairer les décisions métiers, d'accompagner la réalisation d'analyses à destination des équipes Commerce, Expérience Client, Marketing et Produit. Il participera à la réalisation d'analyses, à la construction d'indicateurs, à la production de restitutions claires et actionnables, ainsi qu'au maintien des outils mis à disposition des différents métiers. Il pourra également contribuer à des travaux de modélisation et à la création de modèles de machine learning, depuis la préparation des données jusqu'à l'analyse et l'interprétation des résultats. Dans ce cadre, il travaillera en collaboration avec les équipes data, produit et métiers afin de transformer les données en enseignements utiles au pilotage de l'activité et à la prise de décision.  Missions principalesu&gt; Assister les Data Analysts de l'équipe dans la réalisation de leurs analyses et projets data Créer et maintenir des dashboards à destination des équipes métiers Contribuer aux différents travaux de l'équipe Data Analyse Participer à l'aide au pilotage de l'activité à travers la production d'indicateurs, d'analyses et de restitutions synthétiques  Principales interactionsu&gt;Pour mener à bien votre mission, vous serez intégré à l'équipe data analyse, sous la direction du lead data analyst.",https://www.directemploi.com/candidatOffre/55763504?utm_source=pole-emploi&utm_medium=referral&utm_campaign=Pôle-Emploi,,,False,France Travail,M1419
6a6141694c95ed19f03d9b2d,SNCF - ALTERNANCE - Chargé ou chargée de Reporting Durabilité (H/F),SNCF,93380 Saint-Denis,Apprentissage,,,12,,1,,,"DESCRIPTION DU POSTE  CHARGÉ OU CHARGÉE DE REPORTING DURABILITÉ - AU SEIN DE LA DIRECTION RSE GROUPE SNCF   Dans le cadre de l'application de la directive européenne 2022/2464 (CSRD), vous participerez à la campagne 2026 du Rapport de durabilité du Groupe SNCF selon les normes de l'EFRAG.  En lien avec les membres de l'équipe CSRD-Reporting, vous contribuerez à des enjeux concrets :  LES MISSIONS   * CONTRIBUER AU PILOTAGE DE LA CAMPAGNE 2026 DU RAPPORT DE DURABILITÉ ET PRÉPARER LA CAMPAGNE 2027   * EN LIEN AVEC LE CHEF DE PROJET, VOUS APPUYEZ L'ORGANISATION, le suivi et le retour d'expériences de la campagne 2026 la collecte de données avec les équipes métiers,   * PARTICIPER À LA COLLECTE, LA CONSOLIDATION ET L'INTÉGRATION des infos (qualitatives/quantitatives).   * PILOTER LA RÉPONSE GROUPE AU QUESTIONNAIRE DU PACTE MONDIAL DES NATIONS UNIES ET AU RAIL SUSTAINABILITY INDEX DE L'UIC   * COLLECTER les informations auprès des contributeurs  * ORGANISER les validations  * PUBLIER la réponse Groupe  * CONTRIBUER au bilan des campagnes 2026 et synthétiser les recommandations pour les campagnes 2027.   * PARTICIPER AUX ÉVALUATIONS DES AGENCES DE NOTATIONS EXTRA-FINANCIÈRES, INITIATIVES VOLONTAIRES ET REPORTINGS À L'ÉTAT ACTIONNAIRE :   * EcoVadis, CDP (questionnaires Climat et Eau), WBA (World Benchmarking Alliance),  * Reporting à l'APE (Agence des Participations de l'État)   * Collecter les informations auprès des sociétés du Groupe et contribuer à la rédaction des réponses aux questionnaires.  * Contribuer au bilan des campagnes 2026 et synthétiser les recommandations pour les campagnes 2027.   PROFIL RECHERCHÉ  * FORMATION : Master 2 en RSE, développement durable, finance durable, IAE, management ou équivalent, école de commerce    * SOFT SKILLS :   * AUTONOME ET ORGANISÉ(E) (gestion de plusieurs missions en parallèle).  * ESPRIT D'ÉQUIPE (Vous collaborez avec des experts métiers et des parties prenantes internationales).  * CURIEUX(SE) ET ANALYTIQUE (Vous aimez décrypter des réglementations et des données complexes).   * LANGUES : ANGLAIS COURANT (échanges avec l'ONU, lecture de référentiels).   * OUTILS :   * Maîtrise de la SUITE OFFICE (Excel, PowerPoint).  * FLUENCE DM (outil de reporting).  CE QUE NOUS OFFRONS :   * UN CONTRAT EN ALTERNANCE   * UN ACCOMPAGNEMENT : Tutorat dédié, formations aux outils métiers, intégration dans une équipe soudée.  * DES AVANTAGES : Titre de transport (pour tes trajets pro/perso), CE, télétravail partiel.  * UN LIEU INSPIRANT : Siège SNCF SA , dans des locaux modernes et engagés (tri des déchets, cantine durable...).  INFOS PRATIQUES   * DURÉE : 12 mois (idéalement de SEPTEMBRE 2026 À AOÛT 2027   * LIEU : La Plaine St Denis  Envie de DONNER DU SENS À VOTRE ALTERNANCE et de vous engager pour 12 mois ?  Postulez en nous envoyant :   * CV en précisant votre cursus pour la rentrée scolaire 2026 ainsi que le RYTHME D'ALTERNANCE_._",https://www.altays-progiciels.com/sncf-recrutement-externe/back/offre/redirectOffreSiteCarriere/1?NoOffre=2868486&NoSociete=389&NoLangue=1&NoSource=16003,,,False,France Travail,M1403
69ebe7f8ea85c9f7e503f7dd,Apprenti(e) Chargé(e) d’études,Conseil départemental des Hauts-de-Seine,92000 Nanterre,Apprentissage,,2026-09-14T22:00:00.000Z,12,"Licence, BUT, Licence Pro (Bac+3)",1,,,"<p><strong>MISSIONS : </strong> </p><p>En tant qu’apprenti vous rejoindrez l'Unité Management de la donnée, vous participerez à la production des tableaux de bord de pilotage et des études relatives à la population altoséquanaise et à l'activité du pôle Solidarité. </p><p> </p><p><strong>ACTIVITES PRINCIPALES : </strong></p><p>Sous la responsabilité d'un maître d'apprentissage, vous apprendrez à : </p><p> </p><p>1. Elaborer, exploiter et actualiser les tableaux de bord d’activité du pôle Solidarités :<br />Participer à la conception et création des futurs et actuels tableaux de bord de pilotage de l’activité des directions du pôle<br />Alimenter et tenir à jour les différents tableaux de bord de suivi d’activité en fonction des usages, à l’aide de BI et des outils de visualisation de données, à destination de tous les niveaux hiérarchiques<br />Contrôler la cohérence et consolider les données, notamment à travers la réalisation de requêtes de contrôle de saisie</p><p> </p><p>2. Contribuer à la réalisation d’études :<br />Aider à la définition et à la structuration des projets d’études, qu’ils soient menés au sein du Département ou confiés à des prestataires extérieurs (aide à la définition des besoins et proposition d’une méthodologie adaptée)<br />Exploiter et analyser les données, en s’appuyant sur des méthodes quantitatives et/ou qualitatives (entretiens semi directifs, observations, etc.)</p><p>Produire et restituer les résultats, analyses et études (rapports de synthèse, présentations, cartographies...)<br />Mettre à jour et faire évoluer les diagnostics et portraits de territoires existants</p><p> </p><p>3. Participer au portage des projets statistiques du pôle Solidarités :<br />Participer à la conception et à la mise à jour des outils de contrôle et de pilotage de la donnée pour les différentes directions du pôle<br />Appuyer techniquement (Excel, techniques d'enquête, etc.) les services du pôle Solidarités<br />Collecter, gérer et administrer les données sociodémographiques provenant d'organismes extérieurs (recensement de la population INSEE, CAF, DRIHL, DREES, DREETS, etc.)<br />Contribuer à l’élaboration de documents institutionnels (rapport d’activité, rapport de développement durable, etc.)</p><p> </p><p>4. Accompagner aux projets transversaux :<br />Participer à des groupes de travail internes (OPDE, etc.) et externes (nationaux, départementaux, etc.)<br />Venir en appui aux responsables d’application pour les recettes des univers BI</p><p> </p><p><strong>Poste d’apprenti à pouvoir dès septembre 2026</strong></p><p><strong>Comment postuler : CV + Lettre de motivation à envoyer à : </strong></p>",https://www.pass.fonction-publique.gouv.fr/offre/apprentie-chargee-detudes-3,,partners_69ebe7f8ea85c9f7e503f7dd,False,PASS,M1403
