id,intitule,entreprise,lieu,type_contrat,nature_contrat,duree_contrat,date_creation,salaire,experience_exigee,competences,description,url
SPONT-art-informatique,Candidature spontanée - Alternance Data / Science des données,ART INFORMATIQUE,"11000, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"ART INFORMATIQUE est une structure basée à Carcassonne, active dans le secteur du développement. Bien que les détails spécifiques sur ses activités ne soient pas fournis, l'entreprise semble s'inscrire dans un domaine lié aux technologies de l'information. Je suis intéressé par une alternance en science des données et intelligence artificielle au sein de votre équipe.",
SPONT-laboratoire-d-oceanographie-microbienne,Candidature spontanée - Alternance Data / Science des données,LABORATOIRE D'OCEANOGRAPHIE MICROBIENNE,"66650, BANYULS SUR MER",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"Le Laboratoire d'Océanographie Microbienne, situé à Banyuls sur Mer, est une structure active dans le domaine de l'océanographie. Son service historique se concentre sur l'étude des microorganismes marins. Bien que les détails spécifiques de ses activités ne soient pas disponibles, l'entreprise semble engagée dans la recherche et l'analyse liées à l'environnement marin.",http://www.obs-banyuls.fr/
SPONT-une-note-de-vin,Candidature spontanée - Alternance Data / Science des données,UNE NOTE DE VIN,"31560, NAILLOUX",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"Une Note de Vin est une structure basée à Nailloux, active dans le secteur suggéré par son nom/service. Historiquement, l'entreprise est liée au domaine de l'informatique. Pour plus d'informations, vous pouvez consulter leur site web.",http://www.note-de-vin.fr/
SPONT-departement-de-l-aude,Candidature spontanée - Alternance Data / Science des données,DEPARTEMENT DE L'AUDE,"11855, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"Le Département de l'Aude est une structure basée à Carcassonne, active dans le secteur de l'action sociale et de l'insertion. Son engagement dans ces domaines suggère un intérêt pour des solutions innovantes et des approches basées sur les données. Je souhaite contribuer à ses missions à travers une alternance en science des données et intelligence artificielle.",http://www.aude.fr/
SPONT-commune-de-perigueux,Candidature spontanée - Alternance Data / Science des données,COMMUNE DE PERIGUEUX,"24000, PERIGUEUX",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"La COMMUNE DE PERIGUEUX est une structure basée à PERIGUEUX, active dans le secteur des systèmes d'information et du numérique. Elle est impliquée dans la gestion et l'optimisation des services numériques au sein de la collectivité. La direction concernée est dédiée à l'amélioration des processus par le biais de solutions technologiques.",
SPONT-sph-gerard-bertrand,Candidature spontanée - Alternance Data / Science des données,SPH GERARD BERTRAND,"11100, NARBONNE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"SPH GERARD BERTRAND est une structure basée à NARBONNE, active dans le secteur suggéré par son nom et son service historique de contrôle de gestion. Bien que les détails spécifiques sur ses activités ne soient pas disponibles, l'entreprise semble évoluer dans un environnement où l'analyse des données pourrait jouer un rôle clé. Je suis intéressé par une alternance en science des données et intelligence artificielle au sein de votre équipe.",
SPONT-st-microelectronics-crolles2-sas,Candidature spontanée - Alternance Data / Science des données,ST MICROELECTRONICS CROLLES2 SAS,"38920, CROLLES",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"ST MICROELECTRONICS CROLLES2 SAS est une structure basée à CROLLES, active dans le secteur de la microélectronique, avec un service concerné par le département « PROCESS CONTROL ». L'entreprise semble s'intéresser aux technologies avancées et à l'optimisation des processus. Je souhaite proposer ma candidature pour une alternance en science des données et intelligence artificielle au sein de cette entité.",
SPONT-ass-union-sportive-carcassonnaise-xv-car,Candidature spontanée - Alternance Data / Science des données,ASS UNION SPORTIVE CARCASSONNAISE XV CARCASSONNE FRANCE,"11000, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"ASS UNION SPORTIVE CARCASSONNAISE XV est une structure basée à Carcassonne, active dans le secteur sportif. Située Place Henri Brisson, l'entreprise semble engagée dans des activités liées au sport, bien que les détails spécifiques ne soient pas fournis. Je souhaite proposer mes compétences en science des données et intelligence artificielle pour contribuer à ses projets.",
SPONT-sysnove,Candidature spontanée - Alternance Data / Science des données,SYSNOVE,"40990, SAINT-PAUL-LES-DAX",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"Sysnove est une structure basée à SAINT-PAUL-LES-DAX, active dans le secteur de l'informatique, spécialisée dans l'infogérance de serveurs dédiés. L'entreprise propose des services tels que la supervision, la sécurité, les mises à jour régulières et les sauvegardes automatiques, permettant à ses clients de se concentrer sur leur activité principale. La disponibilité et la confiance sont des valeurs fondamentales pour Sysnove, qui s'engage à assurer un service de qualité.",https://www.sysnove.fr/
SPONT-carcassonne-agglo,Candidature spontanée - Alternance Data / Science des données,CARCASSONNE AGGLO,"11000, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"CARCASSONNE AGGLO est une structure basée à Carcassonne, active dans le secteur de l'aménagement durable du territoire. Elle s'engage à développer des initiatives et des projets en lien avec l'urbanisme et l'environnement. Bien que les détails spécifiques sur ses activités ne soient pas fournis, l'entreprise semble jouer un rôle clé dans la gestion et l'amélioration de l'espace urbain.",
SPONT-clinreal,Candidature spontanée - Alternance Data / Science des données,CLINREAL,"31400, TOULOUSE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"ClinReal est une structure basée à Toulouse, active dans le secteur de la recherche clinique et de la cosmétovigilance. L'entreprise se concentre sur le soutien et l'accompagnement dans ces domaines, tout en publiant des travaux scientifiques. Son site web propose des informations sur ses activités et ses services.",https://www.clinrealonline.fr/
SPONT-acti-city-information-jeunesse,Candidature spontanée - Alternance Data / Science des données,ACTI CITY - INFORMATION JEUNESSE,"11000, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"ACTI CITY - INFORMATION JEUNESSE est une structure basée à Carcassonne, active dans le secteur de l'information jeunesse. Bien que les détails spécifiques sur ses activités ne soient pas fournis, elle semble jouer un rôle dans l'accompagnement et l'information des jeunes. Je suis intéressé par une alternance en science des données et intelligence artificielle au sein de votre organisation.",
SPONT-direction-regionale-finances-publiques-i,Candidature spontanée - Alternance Data / Science des données,DIRECTION REGIONALE FINANCES PUBLIQUES ILE DE FRANCE ET PARIS,"75104, PARIS CEDEX 02",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"La DIRECTION REGIONALE FINANCES PUBLIQUES ILE DE FRANCE ET PARIS est une structure basée à PARIS CEDEX 02, active dans le secteur des finances publiques. Elle est historiquement liée au SERVICE DES IMPOTS DES PARTICULIERS, ce qui suggère un rôle dans la gestion et l'administration des impôts. Cette organisation pourrait bénéficier de l'intégration de solutions en science des données et en intelligence artificielle pour optimiser ses processus.",
SPONT-cathare-arts-martiaux-coaching,Candidature spontanée - Alternance Data / Science des données,CATHARE ARTS MARTIAUX COACHING,"11800, TREBES",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"CATHARE ARTS MARTIAUX COACHING est une structure basée à TREBES, active dans le secteur suggéré par son nom et son service historique d'administration. Bien que les détails spécifiques sur ses activités ne soient pas disponibles, l'entreprise semble s'intéresser à des domaines liés aux arts martiaux et au coaching. Je suis motivé à contribuer à son développement en apportant mes compétences en science des données et en intelligence artificielle.",
SPONT-vitesco-technologies,Candidature spontanée - Alternance Data / Science des données,VITESCO TECHNOLOGIES,"31100, TOULOUSE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"VITESCO TECHNOLOGIES est une structure basée à TOULOUSE, active dans le secteur des prototypes. Bien que les détails spécifiques sur ses activités ne soient pas fournis, l'entreprise semble s'inscrire dans un domaine lié à l'innovation et au développement technologique. Je suis intéressé par une alternance en science des données et intelligence artificielle au sein de votre équipe.",
SPONT-mairie-de-carcassonne,Candidature spontanée - Alternance Data / Science des données,MAIRIE DE CARCASSONNE,"11012, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"La MAIRIE DE CARCASSONNE est une structure basée à Carcassonne, active dans le secteur de l'enseignement supérieur et de la jeunesse. Elle est située au 32 rue Aimé Ramond. Bien que les détails spécifiques sur ses activités ne soient pas fournis, elle semble engagée dans des initiatives liées à l'éducation et au développement des jeunes.",
SPONT-universite-de-perpignan-via-domitia,Candidature spontanée - Alternance Data / Science des données,UNIVERSITE DE PERPIGNAN VIA DOMITIA,"66860, PERPIGNAN",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"L'Université de Perpignan Via Domitia est une structure basée à Perpignan, active dans le secteur de l'enseignement supérieur. Elle propose des formations variées, notamment au sein de l'IUT Département Technique de Commercialisation. Cette institution vise à former des étudiants dans divers domaines, en mettant l'accent sur des compétences pratiques et théoriques.",
SPONT-fun-sports-cycles,Candidature spontanée - Alternance Data / Science des données,FUN SPORTS CYCLES,"11000, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"FUN SPORTS CYCLES est une structure basée à Carcassonne, active dans le secteur du e-commerce, spécialisée dans la vente de vélos neufs et d'occasion, ainsi que de pièces et accessoires. L'entreprise propose une large gamme de vélos, y compris des modèles reconditionnés et électriques, tout en offrant une livraison gratuite sur certains produits. Son site web reflète son engagement envers une offre 100% française.",https://www.funsportscycles.com/
SPONT-stellium-courtage,Candidature spontanée - Alternance Data / Science des données,STELLIUM COURTAGE,"31201, FRONTIGNAN-DE-COMMINGES",Candidature spontanée,,,2026-09-14T14:47:40.000Z,,Débutant accepté,,"STELLIUM COURTAGE est une structure basée à FRONTIGNAN-DE-COMMINGES, active dans le secteur des placements. Bien que les détails spécifiques sur ses activités ne soient pas fournis, l'entreprise semble s'inscrire dans un domaine lié à la finance ou à l'investissement. Je suis intéressé par une alternance en science des données et intelligence artificielle pour contribuer à ses projets.",
