id,intitule,entreprise,lieu,type_contrat,nature_contrat,duree_contrat,date_creation,salaire,experience_exigee,competences,description,url
SPONT-art-informatique,Candidature spontanée - Alternance Data / Science des données,ART INFORMATIQUE,"11000, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"ART INFORMATIQUE est une structure basée à Carcassonne, active dans le secteur du développement. Bien que les détails spécifiques sur ses activités ne soient pas disponibles, l'entreprise semble engagée dans des projets liés à l'informatique. Je suis intéressé par une alternance en science des données et intelligence artificielle au sein de votre équipe.",
SPONT-laboratoire-d-oceanographie-microbienne,Candidature spontanée - Alternance Data / Science des données,LABORATOIRE D'OCEANOGRAPHIE MICROBIENNE,"66650, BANYULS SUR MER",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"Le Laboratoire d'Océanographie Microbienne est une structure basée à Banyuls sur Mer, active dans le secteur de l'océanographie. Son service historique se concentre sur l'étude des microorganismes marins. Bien que les détails spécifiques de ses activités ne soient pas disponibles, l'entreprise semble engagée dans la recherche et l'analyse liées à l'environnement marin.",http://www.obs-banyuls.fr/
SPONT-une-note-de-vin,Candidature spontanée - Alternance Data / Science des données,UNE NOTE DE VIN,"31560, NAILLOUX",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"UNE NOTE DE VIN est une structure basée à NAILLOUX, active dans le secteur suggéré par son nom/service. L'entreprise semble avoir un service historiquement lié à l'informatique, ce qui pourrait impliquer des activités en lien avec la gestion de données. Le site web de l'entreprise est http://www.note-de-vin.fr/.",http://www.note-de-vin.fr/
SPONT-departement-de-l-aude,Candidature spontanée - Alternance Data / Science des données,DEPARTEMENT DE L'AUDE,"11855, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"Le Département de l'Aude est une structure basée à Carcassonne, active dans le secteur de l'action sociale et de l'insertion. Son engagement dans ces domaines suggère un intérêt pour des solutions innovantes et des approches basées sur les données. Je souhaite contribuer à ces initiatives à travers une alternance en science des données et intelligence artificielle.",http://www.aude.fr/
SPONT-commune-de-perigueux,Candidature spontanée - Alternance Data / Science des données,COMMUNE DE PERIGUEUX,"24000, PERIGUEUX",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"La COMMUNE DE PERIGUEUX est une structure basée à PERIGUEUX, active dans le secteur des systèmes d'information et du numérique. Elle est impliquée dans la gestion et le développement des technologies numériques au sein de son administration. La direction concernée est celle des systèmes d'information et du numérique, ce qui suggère un intérêt pour l'innovation et l'amélioration des services publics.",
SPONT-sph-gerard-bertrand,Candidature spontanée - Alternance Data / Science des données,SPH GERARD BERTRAND,"11100, NARBONNE",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"SPH GERARD BERTRAND est une structure basée à NARBONNE, active dans le secteur suggéré par son service de contrôle de gestion. Bien que les détails spécifiques sur ses activités ne soient pas disponibles, l'entreprise semble s'inscrire dans un domaine où l'analyse des données pourrait jouer un rôle essentiel. Je suis intéressé par une alternance en science des données et intelligence artificielle au sein de votre équipe.",
SPONT-st-microelectronics-crolles2-sas,Candidature spontanée - Alternance Data / Science des données,ST MICROELECTRONICS CROLLES2 SAS,"38920, CROLLES",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"ST MICROELECTRONICS CROLLES2 SAS est une structure basée à CROLLES, active dans le secteur de la microélectronique, avec un service concerné par le département « PROCESS CONTROL ». L'entreprise semble s'intéresser aux technologies liées à la science des données et à l'intelligence artificielle, bien que les détails spécifiques ne soient pas fournis. Cette candidature vise à explorer des opportunités d'alternance dans ce domaine.",
SPONT-ass-union-sportive-carcassonnaise-xv-car,Candidature spontanée - Alternance Data / Science des données,ASS UNION SPORTIVE CARCASSONNAISE XV CARCASSONNE FRANCE,"11000, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"ASS UNION SPORTIVE CARCASSONNAISE XV est une structure basée à Carcassonne, active dans le secteur sportif. Elle est située sur la Place Henri Brisson. Bien que les détails spécifiques sur ses activités ne soient pas disponibles, son nom indique un engagement dans le domaine du sport.",
SPONT-sysnove,Candidature spontanée - Alternance Data / Science des données,SYSNOVE,"40990, SAINT-PAUL-LES-DAX",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"Sysnove est une structure basée à SAINT-PAUL-LES-DAX, active dans le secteur de l'informatique, spécialisée dans l'infogérance de serveurs dédiés. L'entreprise propose des services tels que la supervision, la sécurité, les mises à jour régulières et les sauvegardes automatiques, permettant à ses clients de se concentrer sur leur activité principale. Sysnove met un point d'honneur à assurer la disponibilité et la tranquillité d'esprit de ses clients en prenant en charge l'administration système de leurs serveurs.",https://www.sysnove.fr/
SPONT-carcassonne-agglo,Candidature spontanée - Alternance Data / Science des données,CARCASSONNE AGGLO,"11000, CARCASSONNE",Candidature spontanée,,,2026-09-14T14:43:55.000Z,,Débutant accepté,,"CARCASSONNE AGGLO est une structure basée à Carcassonne, active dans le secteur de l'aménagement durable du territoire. Elle s'engage probablement dans des initiatives liées à la gestion et à l'optimisation des ressources territoriales. Bien que les détails spécifiques sur ses projets ne soient pas disponibles, l'entreprise semble jouer un rôle clé dans le développement durable de la région.",
