"Id","Intitule","Entreprise","Statut","Erreur"
"SPONT-art-informatique","Candidature spontanée - Alternance Data / Science des données","ART INFORMATIQUE","IGNOREE (deja traitee)",""
"SPONT-laboratoire-d-oceanographie-microbienne","Candidature spontanée - Alternance Data / Science des données","LABORATOIRE D'OCEANOGRAPHIE MICROBIENNE","OK",""
"SPONT-une-note-de-vin","Candidature spontanée - Alternance Data / Science des données","UNE NOTE DE VIN","IGNOREE (deja traitee)",""
"SPONT-departement-de-l-aude","Candidature spontanée - Alternance Data / Science des données","DEPARTEMENT DE L'AUDE","OK",""
"SPONT-commune-de-perigueux","Candidature spontanée - Alternance Data / Science des données","COMMUNE DE PERIGUEUX","OK",""
"SPONT-sph-gerard-bertrand","Candidature spontanée - Alternance Data / Science des données","SPH GERARD BERTRAND","OK",""
"SPONT-st-microelectronics-crolles2-sas","Candidature spontanée - Alternance Data / Science des données","ST MICROELECTRONICS CROLLES2 SAS","OK",""
"SPONT-ass-union-sportive-carcassonnaise-xv-car","Candidature spontanée - Alternance Data / Science des données","ASS UNION SPORTIVE CARCASSONNAISE XV CARCASSONNE FRANCE","OK",""
"SPONT-sysnove","Candidature spontanée - Alternance Data / Science des données","SYSNOVE","OK",""
"SPONT-carcassonne-agglo","Candidature spontanée - Alternance Data / Science des données","CARCASSONNE AGGLO","OK",""
"SPONT-clinreal","Candidature spontanée - Alternance Data / Science des données","CLINREAL","OK",""
"SPONT-acti-city-information-jeunesse","Candidature spontanée - Alternance Data / Science des données","ACTI CITY - INFORMATION JEUNESSE","OK",""
"SPONT-direction-regionale-finances-publiques-i","Candidature spontanée - Alternance Data / Science des données","DIRECTION REGIONALE FINANCES PUBLIQUES ILE DE FRANCE ET PARIS","OK",""
"SPONT-cathare-arts-martiaux-coaching","Candidature spontanée - Alternance Data / Science des données","CATHARE ARTS MARTIAUX COACHING","OK",""
"SPONT-vitesco-technologies","Candidature spontanée - Alternance Data / Science des données","VITESCO TECHNOLOGIES","OK",""
"SPONT-mairie-de-carcassonne","Candidature spontanée - Alternance Data / Science des données","MAIRIE DE CARCASSONNE","OK",""
"SPONT-universite-de-perpignan-via-domitia","Candidature spontanée - Alternance Data / Science des données","UNIVERSITE DE PERPIGNAN VIA DOMITIA","OK",""
"SPONT-fun-sports-cycles","Candidature spontanée - Alternance Data / Science des données","FUN SPORTS CYCLES","OK",""
"SPONT-stellium-courtage","Candidature spontanée - Alternance Data / Science des données","STELLIUM COURTAGE","OK",""
"SPONT-vignerons-catalans","Candidature spontanée - Alternance Data / Science des données","VIGNERONS CATALANS","OK",""
"SPONT-carso-investment","Candidature spontanée - Alternance Data / Science des données","CARSO - INVESTMENT","OK",""
"SPONT-studec","Candidature spontanée - Alternance Data / Science des données","STUDEC","OK",""
"SPONT-eurometropole-de-strasbourg","Candidature spontanée - Alternance Data / Science des données","EUROMETROPOLE DE STRASBOURG","OK",""
"SPONT-moninfo-banque-edel","Candidature spontanée - Alternance Data / Science des données","MONINFO BANQUE EDEL","OK",""
"SPONT-mairie-de-narbonne","Candidature spontanée - Alternance Data / Science des données","MAIRIE DE NARBONNE","OK",""
"SPONT-cnrs-delegation-occitanie-est","Candidature spontanée - Alternance Data / Science des données","CNRS - DELEGATION OCCITANIE EST","OK",""
"SPONT-mairie-de-perpignan","Candidature spontanée - Alternance Data / Science des données","MAIRIE DE PERPIGNAN","OK",""
"SPONT-maison-departementale-des-personnes-hand","Candidature spontanée - Alternance Data / Science des données","MAISON DEPARTEMENTALE DES PERSONNES HANDICAPEES (MDPH)","OK",""
